Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
,115000,KIRKLAND WA,WA,01/26/2018,01,2018,07/25/2018,07,2018
,155000,SUNNYVALE CA,CA,11/05/2018,11,2018,11/15/2018,11,2018
ACCOUNT MANAGER ,77500,ANN ARBOR MI,MI,02/16/2018,02,2018,07/30/2018,07,2018
ACCOUNT MANAGER ,75500,CHICAGO IL,IL,02/07/2018,02,2018,08/03/2018,08,2018
ACCOUNT STRATEGIST  ,92000,MOUNTAIN VIEW CA,CA,02/02/2018,02,2018,07/30/2018,07,2018
ACCOUNT STRATEGIST ,97000,CHICAGO IL,IL,09/13/2018,09,2018,10/09/2018,10,2018
ACCOUNT STRATEGIST ,76500,CHICAGO IL,IL,02/15/2018,02,2018,08/14/2018,08,2018
ACCOUNT STRATEGIST ,90800,MOUNTAIN VIEW CA,CA,02/08/2018,02,2018,02/19/2018,02,2018
ACCOUNT STRATEGIST ,90000,MOUNTAIN VIEW CA,CA,02/16/2018,02,2018,08/16/2018,08,2018
ACCOUNT STRATEGIST ,86008,MOUNTAIN VIEW CA,CA,02/20/2018,02,2018,08/19/2018,08,2018
ACCOUNT STRATEGIST ,95000,NEW YORK NY,NY,02/24/2018,02,2018,08/08/2018,08,2018
ACCOUNT STRATEGIST ,75500,NEW YORK NY,NY,05/25/2018,05,2018,06/04/2018,06,2018
ACCOUNT STRATEGIST ,96000,MOUNTAIN VIEW CA,CA,08/29/2018,08,2018,09/03/2018,09,2018
ACCOUNTANT ,105000,SUNNYVALE CA,CA,02/06/2018,02,2018,08/02/2018,08,2018
ACCOUNTANT ,124000,SUNNYVALE CA,CA,03/27/2018,03,2018,04/02/2018,04,2018
ACCOUNTANT ,170000,SUNNYVALE CA,CA,01/24/2018,01,2018,03/09/2018,03,2018
ACCOUNTANT ,102000,SUNNYVALE CA,CA,02/05/2018,02,2018,08/06/2018,08,2018
ACCOUNTANT ,103000,SUNNYVALE CA,CA,01/30/2018,01,2018,07/25/2018,07,2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,02/02/2018,02,2018,08/03/2018,08,2018
ACCOUNTANT ,109000,SUNNYVALE CA,CA,02/05/2018,02,2018,08/03/2018,08,2018
ACCOUNTANT ,138000,MOUNTAIN VIEW CA,CA,02/20/2018,02,2018,02/27/2018,02,2018
ACCOUNTANT ,84000,MOUNTAIN VIEW CA,CA,09/19/2018,09,2018,09/26/2018,09,2018
ACCOUNTANT ,84000,MOUNTAIN VIEW CA,CA,08/27/2018,08,2018,09/03/2018,09,2018
ACCOUNTANT ,145000,SUNNYVALE CA,CA,06/15/2018,06,2018,06/20/2018,06,2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,09/07/2018,09,2018,09/13/2018,09,2018
ACCOUNTANT ,109000,SUNNYVALE CA,CA,10/16/2018,10,2018,10/23/2018,10,2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,09/25/2018,09,2018,10/02/2018,10,2018
ACCOUNTING MANAGER ,166000,SUNNYVALE CA,CA,04/23/2018,04,2018,04/30/2018,04,2018
AGENCY DEVELOPMENT MANAGER ,107000,MOUNTAIN VIEW CA,CA,04/19/2018,04,2018,04/23/2018,04,2018
ANALYST STAFFING AND OPERATIONS ,108000,MOUNTAIN VIEW CA,CA,05/07/2018,05,2018,05/14/2018,05,2018
ANALYST TRUST AND SAFETY ,102500,SUNNYVALE CA,CA,04/04/2018,04,2018,04/11/2018,04,2018
