Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
ACCOUNT EXECUTIVE,71340,SAN FRANCISCO CA,CA,03/16/2018,03,2018,09/04/2018,09,2018
ACCOUNT EXECUTIVE,71340,SAN FRANCISCO CA,CA,03/27/2018,03,2018,09/04/2018,09,2018
ACCOUNT EXECUTIVE,71340,SAN FRANCISCO CA,CA,03/06/2018,03,2018,09/04/2018,09,2018
ACCOUNT EXECUTIVE,105352,NEW YORK NY,NY,04/27/2018,04,2018,10/17/2018,10,2018
ACCOUNT EXECUTIVE COMMERCIAL MARKET - PLATFORM,94411,ATLANTA GA,GA,03/09/2018,03,2018,03/10/2018,03,2018
ACCOUNT EXECUTIVE GENERAL,108597,NEW YORK NY,NY,07/10/2018,07,2018,10/17/2018,10,2018
ACCOUNT EXECUTIVE GENERAL COMMERCIAL,104420,NEW YORK NY,NY,08/10/2018,08,2018,10/17/2018,10,2018
ACCOUNT EXECUTIVE GROWTH BUSINESS,71620,NEW YORK NY,NY,08/06/2018,08,2018,01/10/2019,01,2019
ACCOUNT EXECUTIVE GROWTH BUSINESS,74485,NEW YORK NY,NY,07/16/2018,07,2018,01/10/2019,01,2019
ACCOUNT EXECUTIVE SERVICE CLOUD,108640,SAN FRANCISCO CA,CA,08/28/2018,08,2018,02/26/2019,02,2019
ACCOUNTING MANAGER CORPORATE ACCOUNTING,105227,SAN FRANCISCO CA,CA,03/04/2018,03,2018,08/28/2018,08,2018
ACCOUNTING MANAGER CORPORATE ACCOUNTING,105227,SAN FRANCISCO CA,CA,03/22/2018,03,2018,09/21/2018,09,2018
ALLIANCES-TECHNICAL EVANGELIST,122429,SAN FRANCISCO CA,CA,03/01/2018,03,2018,08/15/2018,08,2018
AMTS SOFTWARE ENGINEER,117720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,08/22/2018,08,2018
AMTS SOFTWARE ENGINEER,71240,INDIANAPOLIS IN,IN,03/05/2018,03,2018,07/29/2018,07,2018
AMTS SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,02/09/2018,02,2018,07/29/2018,07,2018
AMTS SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,02/23/2018,02,2018,08/23/2018,08,2018
AMTS SOFTWARE ENGINEER,122429,SAN FRANCISCO CA,CA,02/23/2018,02,2018,08/22/2018,08,2018
ANALYST PIPELINE STRATEGY AND ANALYTICS,89898,SAN FRANCISCO CA,CA,01/27/2018,01,2018,02/08/2018,02,2018
ANALYST SALES STRATEGY,82763,SAN FRANCISCO CA,CA,03/13/2018,03,2018,09/07/2018,09,2018
ANALYST SALES STRATEGY & OPERATIONS,96907,SAN FRANCISCO CA,CA,11/07/2018,11,2018,11/19/2018,11,2018
ANALYST/SR ANALYST SALESFORCE VENTURES,84773,SAN FRANCISCO CA,CA,03/01/2018,03,2018,08/30/2018,08,2018
ANALYTICS LEAD STRATEGY AND GROWTH,129106,SAN FRANCISCO CA,CA,03/26/2018,03,2018,04/02/2018,04,2018
AREA VICE PRESIDENT BUSINESS MANAGER,135886,NEW YORK NY,NY,06/12/2018,06,2018,06/22/2018,06,2018
AREA VICE PRESIDENT BUSINESS MANAGER,244026,NEW YORK NY,NY,06/15/2018,06,2018,06/22/2018,06,2018
ASSOCIATE BUSINESS SYSTEMS ANALYST,55340,INDIANAPOLIS IN,IN,03/08/2018,03,2018,09/01/2018,09,2018
ASSOCIATE BUSINESS SYSTEMS ANALYST,57554,INDIANAPOLIS IN,IN,02/01/2018,02,2018,07/30/2018,07,2018
ASSOCIATE BUSINESS SYSTEMS ANALYST,57554,INDIANAPOLIS IN,IN,02/26/2018,02,2018,08/26/2018,08,2018
ASSOCIATE BUSINESS SYSTEMS ANALYST,63544,INDIANAPOLIS IN,IN,03/22/2018,03,2018,09/21/2018,09,2018
ASSOCIATE DATA SCIENTIST EMPLOYEE SUCCESS,82763,SAN FRANCISCO CA,CA,01/15/2018,01,2018,07/15/2018,07,2018
ASSOCIATE DEMO ENGINEER,80160,CHICAGO IL,IL,03/06/2018,03,2018,07/17/2018,07,2018
ASSOCIATE DEMO ENGINEER,80160,CHICAGO IL,IL,03/07/2018,03,2018,07/09/2018,07,2018
ASSOCIATE DEMO ENGINEER,83366,CHICAGO IL,IL,01/29/2018,01,2018,07/17/2018,07,2018
ASSOCIATE FULL STACK SOFTWARE DEVELOPER DEMO ENGINEER,80160,CHICAGO IL,IL,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE MEMBER OF TECHNICAL STAFF,117720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE MEMBER OF TECHNICAL STAFF,87859,BURLINGTON MA,MA,02/01/2018,02,2018,07/24/2018,07,2018
ASSOCIATE MEMBER OF TECHNICAL STAFF,87859,BURLINGTON MA,MA,02/01/2018,02,2018,07/30/2018,07,2018
ASSOCIATE MEMBER OF TECHNICAL STAFF,102669,SAN FRANCISCO CA,CA,01/19/2018,01,2018,07/17/2018,07,2018
ASSOCIATE MTS SOFTWARE ENGINEER,72342,BELLEVUE WA,WA,01/19/2018,01,2018,07/17/2018,07,2018
ASSOCIATE PORTFOLIO SUCCESS MANAGER,65960,CHICAGO IL,IL,03/06/2018,03,2018,07/31/2018,07,2018
ASSOCIATE PORTFOLIO SUCCESS MANAGER,68598,CHICAGO IL,IL,02/01/2018,02,2018,07/31/2018,07,2018
ASSOCIATE PROGRAM MANAGER,121451,SAN FRANCISCO CA,CA,06/20/2018,06,2018,07/02/2018,07,2018
ASSOCIATE SECURITY ENGINEER,111197,SAN FRANCISCO CA,CA,02/02/2018,02,2018,07/31/2018,07,2018
ASSOCIATE SECURITY ENGINEER AMTS,117499,BELLEVUE WA,WA,03/12/2018,03,2018,09/11/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,98720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,109380,HERNDON VA,VA,03/06/2018,03,2018,08/09/2018,08,2018
ASSOCIATE SOFTWARE ENGINEER,117720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,117720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,117720,SAN FRANCISCO CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,63544,INDIANAPOLIS IN,IN,01/19/2018,01,2018,07/17/2018,07,2018
ASSOCIATE SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,03/06/2018,03,2018,08/31/2018,08,2018
ASSOCIATE SOFTWARE ENGINEER,113755,HERNDON VA,VA,02/09/2018,02,2018,08/09/2018,08,2018
ASSOCIATE SOFTWARE ENGINEER,113755,HERNDON VA,VA,03/20/2018,03,2018,09/18/2018,09,2018
ASSOCIATE SOFTWARE ENGINEER,122429,SAN FRANCISCO WA,WA,03/05/2018,03,2018,08/16/2018,08,2018
ASSOCIATE SOFTWARE ENGINEER AMTS,117720,SAN FRANCISCO CA,CA,03/05/2018,03,2018,08/16/2018,08,2018
ASSOCIATE SUCCESS SPECIALIST,53200,INDIANAPOLIS IN,IN,03/20/2018,03,2018,09/19/2018,09,2018
ASSOCIATE SUCCESS SPECIALIST,56700,INDIANAPOLIS IN,IN,03/12/2018,03,2018,07/30/2018,07,2018
ASSOCIATE SYSTEMS SPECIALIST,94800,DALLAS TX,TX,10/19/2018,10,2018,10/29/2018,10,2018
ASSOCIATE SYSTEMS SPECIALIST,94806,DALLAS TX,TX,10/11/2018,10,2018,10/23/2018,10,2018
ASSOCIATE TECHNICAL CONSULTANT,94266,SAN FRANCISCO CA,CA,09/10/2018,09,2018,10/05/2018,10,2018
ASSOCIATE VULNERABILITY MANAGEMENT SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,01/24/2018,01,2018,07/11/2018,07,2018
AVP COMMERCIAL SALES  GENERAL BUSINESS,166254,ATLANTA GA,GA,03/13/2018,03,2018,08/12/2018,08,2018
BACKUP ADMINISTRATOR,71240,INDIANAPOLIS IN,IN,01/15/2018,01,2018,07/15/2018,07,2018
BACKUP ADMINISTRATOR SYSTEMS ENGINEERING ASSOCIATE,71240,INDIANAPOLIS IN,IN,02/27/2018,02,2018,07/15/2018,07,2018
BIG DATA ENGINEER,83533,INDIANAPOLIS IN,IN,02/22/2018,02,2018,08/02/2018,08,2018
BIG DATA PERFORMANCE ENGINEER,122429,SAN FRANCISCO CA,CA,01/19/2018,01,2018,07/17/2018,07,2018
BUSINESS ANALYSIS MANAGER,118394,SAN FRANCISCO CA,CA,10/22/2018,10,2018,04/09/2019,04,2019
BUSINESS ANALYST,82763,SAN FRANCISCO CA,CA,01/25/2018,01,2018,07/09/2018,07,2018
BUSINESS ANALYST,100942,SAN FRANCISCO CA,CA,01/25/2018,01,2018,02/05/2018,02,2018
BUSINESS ANALYST,100942,SAN FRANCISCO CA,CA,02/01/2018,02,2018,08/01/2018,08,2018
BUSINESS DATA CONSULTANT,118394,SAN FRANCISCO CA,CA,08/20/2018,08,2018,10/01/2018,10,2018
BUSINESS DEVELOPMENT REPRESENTATIVE,51880,SAN FRANCISCO CA,CA,03/15/2018,03,2018,09/12/2018,09,2018
BUSINESS INTELLIGENCE ANALYST,82763,SAN FRANCISCO CA,CA,02/15/2018,02,2018,07/18/2018,07,2018
BUSINESS INTELLIGENCE ANALYST,89898,SAN FRANCISCO CA,CA,03/20/2018,03,2018,09/19/2018,09,2018
BUSINESS PROCESS SENIOR MANAGER,140046,SAN FRANCISCO CA,CA,01/11/2018,01,2018,05/16/2018,05,2018
BUSINESS SOLUTION ARCHITECT - ENTERPRISE DATA SERVICES,163134,SAN FRANCISCO CA,CA,04/02/2018,04,2018,04/15/2018,04,2018
BUSINESS SYSTEMS ANALYST,82763,SAN FRANCISCO CA,CA,03/02/2018,03,2018,08/21/2018,08,2018
BUSINESS SYSTEMS ANALYST,85176,HILLSBORO OR,OR,03/27/2018,03,2018,09/20/2018,09,2018
BUSINESS SYSTEMS SPECIALIST,89190,HILLSBORO OR,OR,01/17/2018,01,2018,01/30/2018,01,2018
BUSINESS VALUE SERVICES,110510,SAN FRANCISCO CA,CA,06/07/2018,06,2018,06/18/2018,06,2018
BUSINESS VALUE SERVICES SENIOR MANAGER,110510,SAN FRANCISCO CA,CA,06/19/2018,06,2018,06/25/2018,06,2018
CIRRICULUM DEVELOPER,62899,BURLINGTON MA,MA,02/01/2018,02,2018,07/24/2018,07,2018
COMPLIANCE & AUDIT SENIOR ANALYST,94328,SAN FRANCISCO CA,CA,11/02/2018,11,2018,04/25/2019,04,2019
COMPLIANCE AND AUDIT ANALYST,88442,SAN FRANCISCO CA,CA,02/22/2018,02,2018,07/30/2018,07,2018
CONTENT EXPERIENCE MANAGER,168189,SAN FRANCISCO CA,CA,09/26/2018,09,2018,10/08/2018,10,2018
CORPORATE MARKETING SENIOR MANAGER,151923,SAN FRANCISCO CA,CA,03/02/2018,03,2018,08/17/2018,08,2018
CREATIVE DESIGNER,49130,INDIANAPOLIS IN,IN,03/16/2018,03,2018,09/15/2018,09,2018
CREATIVE DESIGNER,49130,INDIANAPOLIS IN,IN,03/14/2018,03,2018,07/26/2018,07,2018
CREDITING ANALYST,89380,SAN FRANCISCO CA,CA,03/06/2018,03,2018,09/04/2018,09,2018
CSG PRODUCT DIRECTOR,157394,MIAMI BEACH FL,FL,02/21/2018,02,2018,06/29/2018,06,2018
CUSTOMER INTELLIGENCE ANALYST,82763,SAN FRANCISCO CA,CA,02/01/2018,02,2018,07/31/2018,07,2018
CUSTOMER INTELLIGENCE ANALYST,101587,SAN FRANCISCO CA,CA,02/15/2018,02,2018,07/08/2018,07,2018
CUSTOMER INTELLIGENCE DATA SCIENTIST,122824,SAN FRANCISCO CA,CA,03/12/2018,03,2018,09/11/2018,09,2018
CUSTOMER SUPPORT ENGINEER,72740,BURLINGTON MA,MA,03/10/2018,03,2018,08/23/2018,08,2018
DATA ANALYST,82763,SAN FRANCISCO CA,CA,03/16/2018,03,2018,09/15/2018,09,2018
DATA ANALYST,120432,SAN FRANCISCO CA,CA,03/06/2018,03,2018,08/02/2018,08,2018
DATA ENGINEER,113755,HERNDON VA,VA,01/29/2018,01,2018,07/24/2018,07,2018
DATA ENGINEER,141877,SAN FRANCISCO CA,CA,02/15/2018,02,2018,07/18/2018,07,2018
DATA ENGINEER,153774,SAN FRANCISCO CA,CA,01/25/2018,01,2018,07/19/2018,07,2018
DATA INSIGHTS ANALYST,82763,SAN FRANCISCO CA,CA,02/10/2018,02,2018,07/09/2018,07,2018
DATA INSIGHTS ANALYST,89898,SAN FRANCISCO CA,CA,03/20/2018,03,2018,09/19/2018,09,2018
DATA SCIENCE ENGINEER,142168,SAN FRANCISCO CA,CA,06/26/2018,06,2018,11/23/2018,11,2018
DATA SCIENTIST EMPLOYEE SUCCESS,101587,SAN FRANCISCO CA,CA,03/12/2018,03,2018,09/11/2018,09,2018
DATA SCIENTIST MTS,126027,CAMBRIDGE MA,MA,02/07/2018,02,2018,02/19/2018,02,2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/12/2018,10,2018,10/15/2018,10,2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/24/2018,10,2018,11/05/2018,11,2018
DATA WAREHOUSE ENGINEER,91270,INDIANAPOLIS IN,IN,05/23/2018,05,2018,06/04/2018,06,2018
DATABASE ADMIN & OPS SENIOR,94598,SALT LAKE CITY UT,UT,09/18/2018,09,2018,03/12/2019,03,2019
